PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Deck,FamilySize,FsizeD,NameLength,NlengthD,Title,TicketNumber
1,0,3,"Braund, Mr. Owen Harris",1,-0.5609285892411005,1,0,A/5 21171,-0.5024451714361923,,2,8,2,2,23,2,2,21171.0
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",0,0.6024183374074746,1,0,PC 17599,0.7868452935884461,C85,0,2,2,2,51,0,3,17599.0
3,1,3,"Heikkinen, Miss. Laina",0,-0.2700918575789567,0,0,STON/O2. 3101282,-0.4888542575852486,,2,8,1,1,22,2,1,3101282.0
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0,0.38429078866086674,1,0,113803,0.4207302360686478,C123,2,2,2,2,44,0,3,113803.0
5,0,3,"Allen, Mr. William Henry",1,0.38429078866086674,0,0,373450,-0.4863374216869257,,2,8,1,1,24,2,2,373450.0
6,0,3,"Moran, Mr. James",1,0.3531167264858307,0,0,330877,-0.47811642890864375,,1,8,1,1,16,3,2,330877.0
7,0,1,"McCarthy, Mr. Timothy J",1,1.7657652640560497,0,0,17463,0.395813560675251,E46,2,4,1,1,23,2,2,17463.0
8,0,3,"Palsson, Master. Gosta Leonard",1,-2.0151122475518193,3,1,349909,-0.22408312108167944,,2,8,5,0,30,2,0,349909.0
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",0,-0.1973826746634207,0,2,347742,-0.4242561406845337,,2,8,3,2,49,0,3,347742.0
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",0,-1.142602052565388,1,0,237736,-0.04295550208861428,,0,8,2,2,35,2,3,237736.0
11,1,3,"Sandstrom, Miss. Marguerite Rut",0,-1.8696938817207471,1,1,PP 9549,-0.312172377522981,G6,2,6,3,2,31,2,1,9549.0
12,1,1,"Bonnell, Miss. Elizabeth",0,2.0566019957181934,0,0,113783,-0.11384570873513637,C103,2,2,1,1,24,2,1,113783.0
13,0,3,"Saundercock, Mr. William Henry",1,-0.7063469550721723,0,0,A/5. 2151,-0.4863374216869257,,2,8,1,1,30,2,2,2151.0
14,0,3,"Andersson, Mr. Anders Johan",1,0.6751275203230105,1,5,347082,-0.01870931177853077,,2,8,7,0,27,2,2,347082.0
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",0,-1.142602052565388,0,0,350406,-0.4902797934380587,,2,8,1,1,36,2,1,350406.0
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",0,1.8384744469715857,0,0,248706,-0.3262666585535892,,2,8,1,1,32,2,3,248706.0
17,0,3,"Rice, Master. Eugene",1,-2.0151122475518193,4,1,382652,-0.06199888922968465,,1,8,6,0,20,3,0,382652.0
18,1,2,"Williams, Mr. Charles Eugene",1,0.1662177718014454,0,0,244373,-0.3866707201133388,,2,8,1,1,28,2,2,244373.0
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0,0.09345405699872303,1,0,345763,-0.2859972841804228,,2,8,2,2,55,0,3,345763.0
20,1,3,"Masselmani, Mrs. Fatima",0,0.637954950557443,0,0,2649,-0.5029485386158568,,0,8,1,1,23,2,3,2649.0
21,0,2,"Fynney, Mr. Joseph J",1,0.38429078866086674,0,0,239865,-0.12491978668775715,,2,8,1,1,20,3,2,239865.0
22,1,2,"Beesley, Mr. Lawrence",1,0.31158160574533084,0,0,248698,-0.3866707201133388,D56,2,3,1,1,21,2,2,248698.0
23,1,3,"McGowan, Miss. Anna ""Annie""",0,-1.069892869649852,0,0,330923,-0.4867562231804066,,1,8,1,1,27,2,1,330923.0
24,1,1,"Sloper, Mr. William Thompson",1,-0.12467349174788478,0,0,113788,0.06635974158478332,A6,2,0,1,1,28,2,2,113788.0
25,0,3,"Palsson, Miss. Torborg Danira",0,-1.5788571500586035,3,1,349909,-0.22408312108167944,,2,8,5,0,29,2,1,349909.0
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",0,0.6024183374074746,1,5,347077,-0.016444159470040146,,2,8,7,0,57,0,3,347077.0
27,0,3,"Emir, Mr. Farred Chehab",1,0.13035396732835758,0,0,2631,-0.5029485386158568,,0,8,1,1,23,2,2,2631.0
28,0,1,"Fortune, Mr. Charles Alexander",1,-0.7790561379877082,3,2,19950,4.647001076532463,C23 C25 C27,2,2,6,0,30,2,2,19950.0
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",0,-0.8161559985703604,0,0,330959,-0.48977642625839407,,1,8,1,1,29,2,1,330959.0
30,0,3,"Todoroff, Mr. Lalio",1,-0.33869297165976486,0,0,349216,-0.4894421904510968,,2,8,1,1,19,3,2,349216.0
31,0,1,"Uruchurtu, Don. Manuel E",1,0.7478367032385465,0,0,PC 17601,-0.09027201697708476,,0,8,1,1,24,2,4,17601.0
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",0,0.5160398281038178,1,0,PC 17569,2.301728820789,B78,0,1,2,2,46,0,3,17569.0
33,1,3,"Glynn, Miss. Mary Agatha",0,-0.7731485168758209,0,0,335677,-0.49237782784290063,,1,8,1,1,24,2,1,335677.0
34,0,2,"Wheadon, Mr. Edward H",1,2.6382754590424806,0,0,C.A. 24579,-0.43700743807979686,,2,8,1,1,21,2,2,24579.0
35,0,1,"Meyer, Mr. Edgar Joseph",1,-0.12467349174788478,1,0,PC 17604,1.0060617003323709,,0,8,2,2,23,2,2,17604.0
36,0,1,"Holverson, Mr. Alexander Oskar",1,0.8932550690696183,1,0,113789,0.39858208016340624,,2,8,2,2,30,2,2,113789.0
37,1,3,"Mamee, Mr. Hanna",1,-0.12440083231195151,0,0,2677,-0.5028639729296732,,0,8,1,1,16,3,2,2677.0
38,0,3,"Cann, Mr. Ernest Charles",1,-0.6336377721566364,0,0,A./5. 2152,-0.4863374216869257,,2,8,1,1,24,2,2,2152.0
39,0,3,"Vander Planke, Miss. Augusta Maria",0,-0.8517653209032442,2,0,345764,-0.2859972841804228,,2,8,3,2,34,2,1,345764.0
40,1,3,"Nicola-Yarred, Miss. Jamila",0,-1.142602052565388,1,0,2651,-0.42207354059350805,,0,8,2,2,27,2,1,2651.0
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",0,0.7478367032385465,1,0,7546,-0.4576454924460446,,2,8,2,2,46,0,3,7546.0
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",0,-0.1973826746634207,1,0,11668,-0.22559322262067316,,2,8,2,2,56,0,3,11668.0
43,0,3,"Kraeff, Mr. Theodor",1,0.20869811191984758,0,0,349253,-0.4894421904510968,,0,8,1,1,19,3,2,349253.0
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",0,-1.942403064636283,1,2,SC/Paris 2123,0.18876253192945994,,0,8,4,2,40,2,1,2123.0
45,1,3,"Devaney, Miss. Margaret Delia",0,-0.7790561379877082,0,0,330958,-0.48977642625839407,,1,8,1,1,29,2,1,330958.0
46,0,3,"Rogers, Mr. William John",1,0.5790786896915877,0,0,S.C./A.4. 23567,-0.4863374216869257,,2,8,1,1,24,2,2,23567.0
47,0,3,"Lennon, Mr. Denis",1,0.5219474492157054,1,0,370371,-0.3363340021468808,,1,8,2,2,17,3,2,370371.0
48,1,3,"O'Driscoll, Miss. Bridget",0,-0.8575457009450292,0,0,14311,-0.49237782784290063,,1,8,1,1,25,2,1,14311.0
49,0,3,"Samaan, Mr. Youssef",1,-0.34463694736310985,2,0,2662,-0.21191774308354583,,0,8,3,2,19,3,2,2662.0
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",0,-0.8517653209032442,1,0,349237,-0.29002422161773944,,2,8,2,2,45,0,3,349237.0
51,0,3,"Panula, Master. Juha Niilo",1,-1.6515663329741392,4,1,3101295,0.1506737441786005,,2,8,6,0,26,2,0,3101295.0
52,0,3,"Nosworthy, Mr. Richard Cater",1,-0.6336377721566364,0,0,A/4. 39886,-0.4913710934835715,,2,8,1,1,28,2,2,39886.0
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",0,1.4022193494783701,1,0,PC 17572,0.8964967865378598,D33,0,3,2,2,40,2,3,17572.0
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",0,-0.05196430883234885,1,0,2926,-0.12491978668775715,,2,8,2,2,50,0,3,2926.0
